Region,Account,Time,User,CallerIP,ErrorCode,Service,EventName,Resource,SuspiciousCIDRs,PublicIP
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-00881c34627b8e6e8,sg-0b92f2fb1f1b66487",,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-00881c34627b8e6e8,sg-002e0113055f3e6c9",,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,sg-0057510424e0999b7,,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-03fed839e72b72748,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,sg-00881c34627b8e6e8,,
us-east-1,696969696969,2025-03-03 20:09:28-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,sg-0057510424e0999b7,,
us-east-1,696969696969,2025-03-03 20:09:27-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:26-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:26-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-002e0113055f3e6c9",,
us-east-1,696969696969,2025-03-03 20:09:26-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:26-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-03fed839e72b72748,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:26-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,sg-00881c34627b8e6e8,,
